product_id,product_name,category,subcategory,color,size,price,cost,season,launch_date
SKU00000,Black Sneakers,Shoes,Sneakers,Green,S,45.13,18.84,Spring,2024-03-22 23:48:11.841483
SKU00001,Black Jackets,Outerwear,Jackets,White,S,46.41,20.41,Spring,2024-03-14 23:48:11.841511
SKU00002,Red Heels,Shoes,Heels,Pink,XL,52.56,28.36,Spring,2024-10-06 23:48:11.841525
SKU00003,Blue Evening Dresses,Dresses,Evening Dresses,Red,M,28.8,13.59,Winter,2024-11-07 23:48:11.841536
SKU00004,Green Summer Dresses,Dresses,Summer Dresses,Black,XXL,77.02,32.02,Spring,2024-06-16 23:48:11.841545
SKU00005,Grey Summer Dresses,Dresses,Summer Dresses,Red,XXL,24.39,14.56,Summer,2024-07-31 23:48:11.841554
SKU00006,Brown Jeans,Bottoms,Jeans,Green,L,100.82,47.79,Fall,2024-10-04 23:48:11.841562
SKU00007,White Skirts,Bottoms,Skirts,Blue,XL,113.43,53.98,Summer,2024-05-04 23:48:11.841571
SKU00008,Grey Boots,Shoes,Boots,Black,S,125.94,57.12,Fall,2024-06-04 23:48:11.841580
SKU00009,Red Skirts,Bottoms,Skirts,Pink,L,134.43,60.89,Winter,2024-10-14 23:48:11.841588
SKU00010,Brown Skirts,Bottoms,Skirts,Brown,M,44.61,22.25,Summer,2024-04-10 23:48:11.841597
SKU00011,Blue T-shirts,Tops,T-shirts,Blue,XXL,71.99,34.29,Spring,2024-06-12 23:48:11.841605
SKU00012,Green Blazers,Outerwear,Blazers,Black,XXL,112.3,52.56,Fall,2024-02-02 23:48:11.841624
SKU00013,Blue Evening Dresses,Dresses,Evening Dresses,Pink,XS,143.77,79.42,Fall,2024-04-14 23:48:11.841653
SKU00014,Green Bags,Accessories,Bags,Red,S,65.48,38.68,Summer,2024-03-25 23:48:11.841674
SKU00015,Grey Bags,Accessories,Bags,Pink,XS,30.1,13.48,Fall,2024-07-22 23:48:11.841683
SKU00016,White Jeans,Bottoms,Jeans,Pink,XS,147.03,78.21,Summer,2024-10-22 23:48:11.841692
SKU00017,Green Scarves,Accessories,Scarves,Brown,S,140.4,67.36,Summer,2024-07-20 23:48:11.841700
SKU00018,Pink Sandals,Shoes,Sandals,Pink,XS,48.47,19.59,Spring,2024-07-06 23:48:11.841709
SKU00019,Red Scarves,Accessories,Scarves,Black,XS,110.56,45.71,Spring,2024-08-31 23:48:11.841717
SKU00020,White Sweaters,Tops,Sweaters,Red,M,105.31,44.91,Summer,2024-03-25 23:48:11.841725
SKU00021,Red Jewelry,Accessories,Jewelry,Pink,L,40.71,19.17,Spring,2024-05-20 23:48:11.841734
SKU00022,Black Coats,Outerwear,Coats,White,XS,69.35,31.19,Fall,2024-11-01 23:48:11.841743
SKU00023,Blue Shorts,Bottoms,Shorts,Brown,S,52.6,25.7,Summer,2024-11-18 23:48:11.841773
SKU00024,Black Bags,Accessories,Bags,Black,XS,140.06,67.41,Summer,2024-10-02 23:48:11.841791
SKU00025,Brown Jackets,Outerwear,Jackets,Black,S,66.16,38.72,Winter,2024-08-13 23:48:11.841817
SKU00026,Brown Coats,Outerwear,Coats,Pink,S,40.64,20.96,Summer,2024-11-27 23:48:11.841827
SKU00027,Grey Bags,Accessories,Bags,Black,XS,93.86,55.58,Summer,2024-11-27 23:48:11.841836
SKU00028,White Blouses,Tops,Blouses,White,XXL,131.35,77.28,Winter,2024-10-26 23:48:11.841844
SKU00029,Black Scarves,Accessories,Scarves,White,L,103.75,45.74,Fall,2024-08-15 23:48:11.841852
SKU00030,Red Sandals,Shoes,Sandals,Green,L,32.67,15.13,Fall,2024-05-06 23:48:11.841859
SKU00031,Pink T-shirts,Tops,T-shirts,White,XS,87.58,51.38,Fall,2024-10-20 23:48:11.841867
SKU00032,Grey Blouses,Tops,Blouses,Green,S,74.15,44.25,Fall,2024-02-17 23:48:11.841875
SKU00033,Green Sneakers,Shoes,Sneakers,White,S,50.7,21.86,Spring,2024-03-18 23:48:11.841883
SKU00034,Red Summer Dresses,Dresses,Summer Dresses,Grey,S,107.81,53.66,Fall,2024-04-12 23:48:11.841891
SKU00035,Brown T-shirts,Tops,T-shirts,Green,XS,15.48,9.23,Summer,2024-02-04 23:48:11.841903
SKU00036,Brown Shorts,Bottoms,Shorts,Black,XS,25.16,10.25,Summer,2024-03-22 23:48:11.841912
SKU00037,Blue Summer Dresses,Dresses,Summer Dresses,Brown,S,20.65,11.97,Fall,2024-12-06 23:48:11.841919
SKU00038,White Trousers,Bottoms,Trousers,Grey,XL,134.36,73.88,Winter,2024-02-13 23:48:11.841928
SKU00039,Blue Trousers,Bottoms,Trousers,Brown,XS,39.21,21.98,Fall,2024-05-30 23:48:11.841937
SKU00040,Green Boots,Shoes,Boots,Blue,XXL,29.59,13.15,Spring,2024-04-30 23:48:11.841947
SKU00041,Green Coats,Outerwear,Coats,Red,S,18.19,8.47,Summer,2024-06-05 23:48:11.841955
SKU00042,Grey Sweaters,Tops,Sweaters,Brown,XXL,147.46,62.39,Fall,2024-12-12 23:48:11.841963
SKU00043,Green Casual Dresses,Dresses,Casual Dresses,Black,XS,95.54,46.55,Fall,2024-07-19 23:48:11.841971
SKU00044,Brown Bags,Accessories,Bags,Red,M,20.99,10.58,Winter,2024-12-26 23:48:11.841979
SKU00045,Grey Scarves,Accessories,Scarves,Brown,XS,143.1,66.22,Fall,2024-02-11 23:48:11.841987
SKU00046,Green Sweaters,Tops,Sweaters,Brown,M,69.32,29.49,Fall,2024-03-18 23:48:11.841995
SKU00047,Brown Blazers,Outerwear,Blazers,Blue,XL,91.83,52.04,Winter,2024-03-21 23:48:11.842003
SKU00048,Red Evening Dresses,Dresses,Evening Dresses,Brown,XL,96.9,47.32,Fall,2024-05-02 23:48:11.842011
SKU00049,Pink Boots,Shoes,Boots,Blue,XXL,26.45,14.91,Fall,2024-11-09 23:48:11.842019
SKU00050,Red Skirts,Bottoms,Skirts,Red,S,18.3,9.56,Summer,2024-04-27 23:48:11.842026
SKU00051,Brown Shirts,Tops,Shirts,Red,XXL,109.01,48.92,Winter,2024-06-05 23:48:11.842034
SKU00052,White Sneakers,Shoes,Sneakers,Brown,S,38.74,19.81,Winter,2024-12-01 23:48:11.842042
SKU00053,Blue Shirts,Tops,Shirts,Pink,XXL,86.7,45.3,Fall,2024-05-14 23:48:11.842051
SKU00054,Pink Heels,Shoes,Heels,Blue,XXL,131.3,72.26,Winter,2024-08-16 23:48:11.842059
SKU00055,Pink Sandals,Shoes,Sandals,Red,M,74.38,33.79,Fall,2024-08-28 23:48:11.842067
SKU00056,White Summer Dresses,Dresses,Summer Dresses,Blue,S,46.22,19.08,Summer,2024-09-08 23:48:11.842081
SKU00057,Pink Coats,Outerwear,Coats,Brown,XS,42.92,24.94,Winter,2024-06-10 23:48:11.842089
SKU00058,Brown Bags,Accessories,Bags,Pink,XS,142.27,81.19,Fall,2024-06-10 23:48:11.842097
SKU00059,Red Blazers,Outerwear,Blazers,Pink,S,51.85,24.77,Winter,2024-12-12 23:48:11.842105
SKU00060,Blue Heels,Shoes,Heels,Pink,S,147.4,76.41,Spring,2024-06-08 23:48:11.842115
SKU00061,White Sneakers,Shoes,Sneakers,Brown,S,132.02,59.68,Summer,2024-12-01 23:48:11.842123
SKU00062,Pink Casual Dresses,Dresses,Casual Dresses,Grey,M,117.77,64.82,Winter,2024-08-06 23:48:11.842130
SKU00063,White Coats,Outerwear,Coats,Pink,XS,116.12,51.66,Spring,2024-06-30 23:48:11.842138
SKU00064,Black T-shirts,Tops,T-shirts,Red,S,128.3,54.56,Summer,2024-08-26 23:48:11.842145
SKU00065,Red Sneakers,Shoes,Sneakers,Pink,XXL,49.59,25.85,Fall,2024-10-02 23:48:11.842154
SKU00066,Blue Sneakers,Shoes,Sneakers,Green,XS,93.12,49.86,Fall,2024-03-07 23:48:11.842162
SKU00067,Red Coats,Outerwear,Coats,White,XL,108.23,58.38,Summer,2024-11-04 23:48:11.842170
SKU00068,White Summer Dresses,Dresses,Summer Dresses,Black,M,86.92,43.56,Fall,2024-11-21 23:48:11.842178
SKU00069,Brown Casual Dresses,Dresses,Casual Dresses,Pink,XS,73.53,42.52,Fall,2024-02-05 23:48:11.842186
SKU00070,Blue Blazers,Outerwear,Blazers,Brown,S,114.06,64.06,Fall,2024-02-15 23:48:11.842193
SKU00071,Pink Jewelry,Accessories,Jewelry,Brown,XXL,94.98,53.77,Fall,2024-08-23 23:48:11.842203
SKU00072,Pink Sweaters,Tops,Sweaters,Red,L,91.93,37.3,Winter,2024-07-07 23:48:11.842211
SKU00073,Pink Casual Dresses,Dresses,Casual Dresses,Red,M,122.71,70.69,Fall,2024-08-05 23:48:11.842219
SKU00074,Black Sandals,Shoes,Sandals,Red,XS,47.58,24.32,Winter,2024-04-20 23:48:11.842226
SKU00075,Pink Shorts,Bottoms,Shorts,Pink,XS,27.56,14.84,Summer,2024-06-02 23:48:11.842234
SKU00076,Grey Summer Dresses,Dresses,Summer Dresses,Pink,XL,86.67,40.4,Winter,2024-03-20 23:48:11.842241
SKU00077,Green Heels,Shoes,Heels,Green,M,46.12,19.55,Summer,2024-07-18 23:48:11.842253
SKU00078,Red Scarves,Accessories,Scarves,Red,XXL,80.37,45.53,Fall,2024-11-05 23:48:11.842262
SKU00079,Grey Casual Dresses,Dresses,Casual Dresses,Blue,M,16.91,6.92,Summer,2024-08-08 23:48:11.842272
SKU00080,Blue Sweaters,Tops,Sweaters,Pink,XS,132.82,65.84,Fall,2024-04-30 23:48:11.842280
SKU00081,Black Casual Dresses,Dresses,Casual Dresses,Green,L,30.4,15.15,Spring,2024-06-04 23:48:11.842288
SKU00082,Blue Bags,Accessories,Bags,Blue,XL,143.13,60.64,Spring,2024-08-21 23:48:11.842295
SKU00083,Red Blazers,Outerwear,Blazers,Brown,L,137.65,82.32,Fall,2024-02-29 23:48:11.842303
SKU00084,Black Summer Dresses,Dresses,Summer Dresses,White,S,99.44,42.9,Fall,2024-11-15 23:48:11.842311
SKU00085,Blue Jeans,Bottoms,Jeans,Black,L,75.82,30.82,Winter,2024-07-30 23:48:11.842319
SKU00086,Green Summer Dresses,Dresses,Summer Dresses,Pink,XS,107.8,55.84,Fall,2024-02-10 23:48:11.842326
SKU00087,White Shorts,Bottoms,Shorts,Red,XXL,35.11,14.55,Fall,2024-10-15 23:48:11.842334
SKU00088,Green Skirts,Bottoms,Skirts,Pink,XS,78.27,46.06,Fall,2024-06-03 23:48:11.842342
SKU00089,Pink Jewelry,Accessories,Jewelry,White,XL,20.38,10.61,Winter,2024-07-14 23:48:11.842350
SKU00090,Red T-shirts,Tops,T-shirts,Black,XXL,125.89,62.2,Spring,2024-09-28 23:48:11.842358
SKU00091,Green Heels,Shoes,Heels,Blue,XL,73.84,36.48,Winter,2024-11-10 23:48:11.842365
SKU00092,Grey Coats,Outerwear,Coats,White,S,59.52,31.7,Winter,2024-08-01 23:48:11.842373
SKU00093,Black Blazers,Outerwear,Blazers,Pink,XS,57.46,34.13,Fall,2024-10-28 23:48:11.842381
SKU00094,Black Blazers,Outerwear,Blazers,Pink,L,22.32,12.3,Fall,2024-02-12 23:48:11.842389
SKU00095,Black Heels,Shoes,Heels,Red,M,89.14,51.36,Fall,2024-05-16 23:48:11.842397
SKU00096,Black Jackets,Outerwear,Jackets,Red,XXL,36.38,17.52,Spring,2024-03-19 23:48:11.842404
SKU00097,Pink Jeans,Bottoms,Jeans,White,XXL,127.34,63.9,Winter,2024-07-30 23:48:11.842412
SKU00098,Pink Evening Dresses,Dresses,Evening Dresses,Pink,S,76.67,33.59,Summer,2024-06-13 23:48:11.842420
SKU00099,White Scarves,Accessories,Scarves,Green,L,60.88,27.8,Fall,2024-12-25 23:48:11.842433
SKU00100,Pink Summer Dresses,Dresses,Summer Dresses,Blue,L,87.71,44.77,Fall,2024-07-09 23:48:11.842441
SKU00101,Pink Jewelry,Accessories,Jewelry,Grey,S,147.4,70.25,Summer,2024-03-09 23:48:11.842448
SKU00102,Grey Jackets,Outerwear,Jackets,Pink,XXL,138.31,82.67,Winter,2024-06-12 23:48:11.842456
SKU00103,Pink Boots,Shoes,Boots,Black,S,82.81,47.6,Fall,2024-11-05 23:48:11.842464
SKU00104,Pink Jackets,Outerwear,Jackets,Black,XXL,34.46,17.02,Summer,2024-11-18 23:48:11.842472
SKU00105,Brown Evening Dresses,Dresses,Evening Dresses,White,M,130.07,68.33,Winter,2024-07-17 23:48:11.842480
SKU00106,Black Blazers,Outerwear,Blazers,White,S,100.21,55.05,Fall,2024-09-01 23:48:11.842488
SKU00107,White Jackets,Outerwear,Jackets,Pink,S,108.69,50.53,Spring,2024-12-03 23:48:11.842496
SKU00108,Grey Sweaters,Tops,Sweaters,Grey,L,34.65,18.58,Winter,2024-03-12 23:48:11.842503
SKU00109,Blue Trousers,Bottoms,Trousers,White,XL,132.56,77.22,Summer,2024-04-16 23:48:11.842512
SKU00110,Pink Trousers,Bottoms,Trousers,Green,L,49.47,28.7,Spring,2024-05-02 23:48:11.842519
SKU00111,White Boots,Shoes,Boots,Pink,M,148.33,87.87,Fall,2024-02-03 23:48:11.842527
SKU00112,Pink Sandals,Shoes,Sandals,Green,S,149.92,67.08,Winter,2024-11-02 23:48:11.842534
SKU00113,Green Belts,Accessories,Belts,Green,XS,147.02,59.05,Winter,2024-08-08 23:48:11.842542
SKU00114,Pink Sneakers,Shoes,Sneakers,Green,S,96.95,51.12,Fall,2024-09-05 23:48:11.842550
SKU00115,Blue Belts,Accessories,Belts,White,XXL,102.26,41.59,Fall,2024-05-15 23:48:11.842558
SKU00116,Blue Summer Dresses,Dresses,Summer Dresses,White,M,59.11,26.02,Winter,2024-09-28 23:48:11.842566
SKU00117,Green Belts,Accessories,Belts,Blue,M,138.4,76.02,Winter,2024-07-28 23:48:11.842575
SKU00118,Pink Casual Dresses,Dresses,Casual Dresses,White,S,116.81,69.32,Summer,2024-06-06 23:48:11.842586
SKU00119,White Belts,Accessories,Belts,Brown,XS,50.7,24.02,Spring,2024-05-08 23:48:11.842594
SKU00120,Brown Sandals,Shoes,Sandals,Grey,XS,106.1,55.59,Winter,2024-12-14 23:48:11.842604
SKU00121,Red Belts,Accessories,Belts,White,XXL,126.22,53.43,Fall,2024-05-31 23:48:11.842612
SKU00122,Green T-shirts,Tops,T-shirts,Pink,XS,28.12,13.8,Summer,2024-06-11 23:48:11.842620
